,image_id,file_path,pixel_size,label,difficulty,left_eye,right_eye,nose,mouth,img_array
29,30,data\real_and_fake_face\training_real\real_00030.jpg,600x600,real,real,,,,,"[[0.08235294 0.1254902  0.0627451 ]
 [0.07843137 0.12156863 0.05882353]
 [0.07843137 0.12156863 0.05882353]
 ...
 [0.08235294 0.09411765 0.05098039]
 [0.08235294 0.09411765 0.05098039]
 [0.08235294 0.09411765 0.05098039]]"
30,31,data\real_and_fake_face\training_real\real_00031.jpg,600x600,real,real,,,,,"[[0.2627451  0.2745098  0.29411765]
 [0.25882353 0.27058824 0.29019608]
 [0.25098039 0.2627451  0.28235294]
 ...
 [0.16078431 0.06666667 0.06666667]
 [0.14901961 0.05490196 0.05490196]
 [0.14901961 0.05490196 0.05490196]]"
31,32,data\real_and_fake_face\training_real\real_00032.jpg,600x600,real,real,,,,,"[[0.11372549 0.4745098  0.7372549 ]
 [0.12156863 0.48235294 0.74509804]
 [0.1254902  0.48627451 0.74901961]
 ...
 [0.18431373 0.55294118 0.79215686]
 [0.18039216 0.55686275 0.79215686]
 [0.17254902 0.56078431 0.79215686]]"
32,33,data\real_and_fake_face\training_real\real_00033.jpg,600x600,real,real,,,,,"[[0.23529412 0.38431373 0.41960784]
 [0.23529412 0.38431373 0.41960784]
 [0.23529412 0.38431373 0.41960784]
 ...
 [0.14117647 0.25098039 0.30588235]
 [0.16470588 0.2745098  0.32941176]
 [0.18431373 0.29411765 0.34901961]]"
33,34,data\real_and_fake_face\training_real\real_00034.jpg,600x600,real,real,,,,,"[[0.83921569 0.67058824 0.5372549 ]
 [0.76470588 0.63137255 0.48235294]
 [0.62352941 0.48235294 0.35686275]
 ...
 [0.56862745 0.54117647 0.56862745]
 [0.45490196 0.44705882 0.46666667]
 [0.54117647 0.54117647 0.54901961]]"
34,35,data\real_and_fake_face\training_real\real_00035.jpg,600x600,real,real,,,,,"[[0.32156863 0.29803922 0.23529412]
 [0.31764706 0.29411765 0.23137255]
 [0.31764706 0.29411765 0.23137255]
 ...
 [0.23137255 0.20392157 0.16470588]
 [0.24705882 0.23137255 0.18823529]
 [0.25098039 0.24313725 0.19607843]]"
35,36,data\real_and_fake_face\training_real\real_00036.jpg,600x600,real,real,,,,,"[[0.30588235 0.3254902  0.3372549 ]
 [0.30980392 0.32941176 0.34117647]
 [0.31372549 0.33333333 0.34509804]
 ...
 [0.22745098 0.25098039 0.25098039]
 [0.23137255 0.25490196 0.25490196]
 [0.23137255 0.25490196 0.25490196]]"
36,37,data\real_and_fake_face\training_real\real_00037.jpg,600x600,real,real,,,,,"[[0.4745098  0.53333333 0.41176471]
 [0.47843137 0.5372549  0.41568627]
 [0.47843137 0.53333333 0.43137255]
 ...
 [0.76470588 0.64313725 0.66666667]
 [0.76862745 0.64313725 0.6627451 ]
 [0.77647059 0.63921569 0.65490196]]"
37,38,data\real_and_fake_face\training_real\real_00038.jpg,600x600,real,real,,,,,"[[0.70196078 0.68235294 0.66666667]
 [0.69803922 0.67843137 0.6627451 ]
 [0.69019608 0.67058824 0.65490196]
 ...
 [0.69803922 0.69803922 0.69019608]
 [0.68627451 0.68627451 0.67843137]
 [0.71372549 0.71372549 0.70588235]]"
38,39,data\real_and_fake_face\training_real\real_00039.jpg,600x600,real,real,,,,,"[[0.0627451  0.18039216 0.18039216]
 [0.05098039 0.16862745 0.16862745]
 [0.03137255 0.14117647 0.14509804]
 ...
 [0.3372549  0.6        0.56470588]
 [0.34117647 0.60392157 0.56862745]
 [0.34117647 0.60392157 0.56862745]]"
39,40,data\real_and_fake_face\training_real\real_00040.jpg,600x600,real,real,,,,,"[[0.55294118 0.77254902 0.8627451 ]
 [0.55294118 0.77254902 0.8627451 ]
 [0.56078431 0.78039216 0.87058824]
 ...
 [0.         0.36862745 0.60784314]
 [0.         0.36862745 0.60784314]
 [0.         0.36862745 0.60784314]]"
40,41,data\real_and_fake_face\training_real\real_00041.jpg,600x600,real,real,,,,,"[[0.18823529 0.20784314 0.22352941]
 [0.18823529 0.20784314 0.21960784]
 [0.20392157 0.21960784 0.23137255]
 ...
 [0.06666667 0.0627451  0.04705882]
 [0.06666667 0.0627451  0.04705882]
 [0.06666667 0.0627451  0.04705882]]"
41,42,data\real_and_fake_face\training_real\real_00042.jpg,600x600,real,real,,,,,"[[0.75686275 0.78823529 0.8       ]
 [0.75686275 0.78823529 0.8       ]
 [0.75686275 0.78823529 0.8       ]
 ...
 [0.7254902  0.57647059 0.43137255]
 [0.7254902  0.57647059 0.43137255]
 [0.7254902  0.57647059 0.43137255]]"
42,43,data\real_and_fake_face\training_real\real_00043.jpg,600x600,real,real,,,,,"[[0.43137255 0.38823529 0.36470588]
 [0.39607843 0.35686275 0.31764706]
 [0.45490196 0.40784314 0.36078431]
 ...
 [0.61176471 0.61960784 0.60784314]
 [0.60784314 0.61568627 0.60392157]
 [0.60392157 0.61176471 0.6       ]]"
43,44,data\real_and_fake_face\training_real\real_00044.jpg,600x600,real,real,,,,,"[[0.00784314 0.00784314 0.00784314]
 [0.00784314 0.00784314 0.00784314]
 [0.00784314 0.00784314 0.00784314]
 ...
 [0.58823529 0.34509804 0.30196078]
 [0.58431373 0.35294118 0.29803922]
 [0.60392157 0.37647059 0.32156863]]"
44,45,data\real_and_fake_face\training_real\real_00045.jpg,600x600,real,real,,,,,"[[0.54117647 0.54117647 0.54117647]
 [0.5372549  0.5372549  0.5372549 ]
 [0.5372549  0.5372549  0.5372549 ]
 ...
 [0.19607843 0.15294118 0.14509804]
 [0.17254902 0.13333333 0.1254902 ]
 [0.18039216 0.14117647 0.1372549 ]]"
45,46,data\real_and_fake_face\training_real\real_00046.jpg,600x600,real,real,,,,,"[[0.89411765 0.93333333 0.9372549 ]
 [0.88627451 0.91764706 0.9254902 ]
 [0.89019608 0.90980392 0.9254902 ]
 ...
 [0.47843137 0.42352941 0.31764706]
 [0.47843137 0.42352941 0.31764706]
 [0.48627451 0.44313725 0.33333333]]"
46,47,data\real_and_fake_face\training_real\real_00047.jpg,600x600,real,real,,,,,"[[0.10196078 0.1372549  0.11764706]
 [0.09803922 0.13333333 0.11372549]
 [0.09019608 0.1254902  0.10588235]
 ...
 [0.08235294 0.09019608 0.08627451]
 [0.08235294 0.09019608 0.08627451]
 [0.08235294 0.09019608 0.08627451]]"
47,48,data\real_and_fake_face\training_real\real_00048.jpg,600x600,real,real,,,,,"[[0.27843137 0.34509804 0.37647059]
 [0.29019608 0.34509804 0.38823529]
 [0.28235294 0.3372549  0.38039216]
 ...
 [0.05882353 0.05882353 0.06666667]
 [0.05882353 0.05882353 0.06666667]
 [0.06666667 0.06666667 0.0745098 ]]"
48,49,data\real_and_fake_face\training_real\real_00049.jpg,600x600,real,real,,,,,"[[0.77647059 0.68627451 0.42352941]
 [0.79215686 0.70588235 0.47058824]
 [0.79215686 0.71764706 0.48627451]
 ...
 [0.10196078 0.1254902  0.10980392]
 [0.09803922 0.12156863 0.10588235]
 [0.1254902  0.14901961 0.13333333]]"
49,50,data\real_and_fake_face\training_real\real_00050.jpg,600x600,real,real,,,,,"[[0.74901961 0.79607843 0.84313725]
 [0.74509804 0.79215686 0.83921569]
 [0.74509804 0.79215686 0.83921569]
 ...
 [0.72941176 0.78431373 0.82745098]
 [0.72941176 0.78431373 0.82745098]
 [0.72941176 0.78431373 0.82745098]]"
50,51,data\real_and_fake_face\training_real\real_00051.jpg,600x600,real,real,,,,,"[[0.35686275 0.52941176 0.58039216]
 [0.36470588 0.5372549  0.58823529]
 [0.35686275 0.52941176 0.58039216]
 ...
 [0.21568627 0.23529412 0.24705882]
 [0.22352941 0.24313725 0.25490196]
 [0.21960784 0.23921569 0.25098039]]"
51,52,data\real_and_fake_face\training_real\real_00052.jpg,600x600,real,real,,,,,"[[0.70588235 0.70196078 0.7254902 ]
 [0.70588235 0.70196078 0.7254902 ]
 [0.70588235 0.70196078 0.7254902 ]
 ...
 [0.74901961 0.70980392 0.6745098 ]
 [0.74901961 0.70980392 0.6745098 ]
 [0.74901961 0.70980392 0.6745098 ]]"
52,53,data\real_and_fake_face\training_real\real_00053.jpg,600x600,real,real,,,,,"[[0.21568627 0.08627451 0.01960784]
 [0.21568627 0.08627451 0.01960784]
 [0.21176471 0.08235294 0.01568627]
 ...
 [0.18823529 0.14901961 0.11372549]
 [0.18823529 0.14901961 0.11372549]
 [0.18823529 0.14901961 0.11372549]]"
53,54,data\real_and_fake_face\training_real\real_00054.jpg,600x600,real,real,,,,,"[[0.26666667 0.12941176 0.04313725]
 [0.27058824 0.12941176 0.04313725]
 [0.28235294 0.13333333 0.05098039]
 ...
 [0.38431373 0.16078431 0.05490196]
 [0.38823529 0.16470588 0.05882353]
 [0.38039216 0.15294118 0.05882353]]"
54,55,data\real_and_fake_face\training_real\real_00055.jpg,600x600,real,real,,,,,"[[0.85882353 0.8627451  0.83921569]
 [0.8627451  0.86666667 0.84313725]
 [0.8627451  0.86666667 0.84313725]
 ...
 [0.85490196 0.75294118 0.68627451]
 [0.8627451  0.75686275 0.6745098 ]
 [0.81568627 0.71372549 0.62352941]]"
55,56,data\real_and_fake_face\training_real\real_00056.jpg,600x600,real,real,,,,,"[[1. 1. 1.]
 [1. 1. 1.]
 [1. 1. 1.]
 ...
 [1. 1. 1.]
 [1. 1. 1.]
 [1. 1. 1.]]"
56,57,data\real_and_fake_face\training_real\real_00057.jpg,600x600,real,real,,,,,"[[0.70980392 0.74509804 0.78039216]
 [0.76862745 0.80392157 0.83137255]
 [0.76078431 0.79607843 0.82352941]
 ...
 [0.85882353 0.86666667 0.91764706]
 [0.85098039 0.85882353 0.90588235]
 [0.91372549 0.9254902  0.96078431]]"
57,58,data\real_and_fake_face\training_real\real_00058.jpg,600x600,real,real,,,,,"[[0.08627451 0.08627451 0.08627451]
 [0.08627451 0.08627451 0.08627451]
 [0.08235294 0.08235294 0.08235294]
 ...
 [0.88627451 0.89411765 0.89019608]
 [0.88627451 0.89411765 0.89019608]
 [0.88235294 0.89019608 0.88627451]]"
58,59,data\real_and_fake_face\training_real\real_00059.jpg,600x600,real,real,,,,,"[[0.43529412 0.42352941 0.39607843]
 [0.4745098  0.4627451  0.43529412]
 [0.50980392 0.49803922 0.47058824]
 ...
 [0.11372549 0.10980392 0.10196078]
 [0.11372549 0.10980392 0.10196078]
 [0.12156863 0.10588235 0.10196078]]"
59,60,data\real_and_fake_face\training_real\real_00060.jpg,600x600,real,real,,,,,"[[0.00392157 0.1372549  0.61960784]
 [0.00784314 0.14117647 0.62352941]
 [0.00784314 0.14117647 0.62352941]
 ...
 [0.94509804 0.85098039 0.74117647]
 [0.94509804 0.8627451  0.74901961]
 [0.94509804 0.87058824 0.74509804]]"
60,61,data\real_and_fake_face\training_real\real_00061.jpg,600x600,real,real,,,,,"[[0.67843137 0.90980392 0.97254902]
 [0.68235294 0.91372549 0.97647059]
 [0.67843137 0.90980392 0.97254902]
 ...
 [0.40784314 0.24705882 0.16078431]
 [0.4        0.23921569 0.15294118]
 [0.39215686 0.23137255 0.15294118]]"
61,62,data\real_and_fake_face\training_real\real_00062.jpg,600x600,real,real,,,,,"[[0.85882353 0.83921569 0.47843137]
 [0.86666667 0.84705882 0.47843137]
 [0.88627451 0.8745098  0.50196078]
 ...
 [0.14901961 0.18823529 0.19215686]
 [0.15294118 0.19215686 0.19607843]
 [0.17254902 0.20392157 0.21176471]]"
62,63,data\real_and_fake_face\training_real\real_00063.jpg,600x600,real,real,,,,,"[[0.87058824 0.80784314 0.74901961]
 [0.87843137 0.81568627 0.75686275]
 [0.8745098  0.81176471 0.75294118]
 ...
 [0.82352941 0.71764706 0.60392157]
 [0.81960784 0.71372549 0.60784314]
 [0.84705882 0.74117647 0.63529412]]"
63,64,data\real_and_fake_face\training_real\real_00064.jpg,600x600,real,real,,,,,"[[0.89411765 0.90980392 0.92156863]
 [0.89411765 0.90980392 0.92156863]
 [0.89411765 0.90980392 0.92156863]
 ...
 [0.6        0.6627451  0.71372549]
 [0.60392157 0.66666667 0.71764706]
 [0.60392157 0.66666667 0.71764706]]"
64,65,data\real_and_fake_face\training_real\real_00065.jpg,600x600,real,real,,,,,"[[0.16862745 0.14117647 0.11764706]
 [0.16470588 0.1372549  0.11372549]
 [0.16470588 0.1372549  0.11372549]
 ...
 [0.74509804 0.83921569 0.88627451]
 [0.74901961 0.84313725 0.89019608]
 [0.74901961 0.84313725 0.89019608]]"
65,66,data\real_and_fake_face\training_real\real_00066.jpg,600x600,real,real,,,,,"[[0.8627451  0.87058824 0.86666667]
 [0.8627451  0.87058824 0.86666667]
 [0.8627451  0.87058824 0.86666667]
 ...
 [0.08235294 0.06666667 0.05490196]
 [0.10196078 0.08627451 0.0745098 ]
 [0.14117647 0.14509804 0.12156863]]"
66,67,data\real_and_fake_face\training_real\real_00067.jpg,600x600,real,real,,,,,"[[0.67058824 0.20784314 0.2       ]
 [0.60784314 0.16078431 0.15686275]
 [0.56078431 0.13333333 0.12156863]
 ...
 [0.07058824 0.01960784 0.05490196]
 [0.06666667 0.01568627 0.05098039]
 [0.06666667 0.01568627 0.05098039]]"
67,68,data\real_and_fake_face\training_real\real_00068.jpg,600x600,real,real,,,,,"[[0.17647059 0.1372549  0.14117647]
 [0.2        0.16078431 0.16470588]
 [0.16078431 0.12156863 0.1254902 ]
 ...
 [0.4745098  0.44705882 0.41568627]
 [0.48627451 0.45882353 0.42745098]
 [0.48627451 0.45882353 0.42745098]]"
68,69,data\real_and_fake_face\training_real\real_00069.jpg,600x600,real,real,,,,,"[[0.62745098 0.30588235 0.25882353]
 [0.61176471 0.29019608 0.24313725]
 [0.61176471 0.29019608 0.24313725]
 ...
 [0.6745098  0.38039216 0.40784314]
 [0.58431373 0.39215686 0.37647059]
 [0.54117647 0.43137255 0.38431373]]"
69,70,data\real_and_fake_face\training_real\real_00070.jpg,600x600,real,real,,,,,"[[0.63529412 0.61176471 0.56470588]
 [0.6        0.57647059 0.52941176]
 [0.60392157 0.58039216 0.53333333]
 ...
 [0.59607843 0.65882353 0.71764706]
 [0.80784314 0.83529412 0.89803922]
 [0.85490196 0.8627451  0.92156863]]"
70,71,data\real_and_fake_face\training_real\real_00071.jpg,600x600,real,real,,,,,"[[0.44313725 0.43921569 0.32941176]
 [0.44313725 0.43921569 0.32941176]
 [0.44313725 0.43921569 0.32941176]
 ...
 [0.25882353 0.1254902  0.01960784]
 [0.25490196 0.12156863 0.01568627]
 [0.25098039 0.11764706 0.01176471]]"
71,72,data\real_and_fake_face\training_real\real_00072.jpg,600x600,real,real,,,,,"[[0.80392157 0.74509804 0.65490196]
 [0.78039216 0.70980392 0.61568627]
 [0.77254902 0.67058824 0.57254902]
 ...
 [0.83921569 0.81960784 0.79607843]
 [0.83921569 0.81960784 0.79607843]
 [0.84313725 0.82352941 0.8       ]]"
72,73,data\real_and_fake_face\training_real\real_00073.jpg,600x600,real,real,,,,,"[[0.33333333 0.27843137 0.23529412]
 [0.37647059 0.32156863 0.27843137]
 [0.34117647 0.28627451 0.24313725]
 ...
 [0.45490196 0.34509804 0.29803922]
 [0.41568627 0.30588235 0.2627451 ]
 [0.41960784 0.30980392 0.26666667]]"
73,74,data\real_and_fake_face\training_real\real_00074.jpg,600x600,real,real,,,,,"[[0.95294118 0.96078431 1.        ]
 [0.94901961 0.96078431 0.99607843]
 [0.9372549  0.94901961 0.96862745]
 ...
 [0.76078431 0.78039216 0.89411765]
 [0.77647059 0.78039216 0.8627451 ]
 [0.82352941 0.80784314 0.8745098 ]]"
74,75,data\real_and_fake_face\training_real\real_00075.jpg,600x600,real,real,,,,,"[[0.57254902 0.32941176 0.24705882]
 [0.61568627 0.38823529 0.30196078]
 [0.60784314 0.39607843 0.30196078]
 ...
 [0.59215686 0.29411765 0.23137255]
 [0.58823529 0.29019608 0.22745098]
 [0.58431373 0.28627451 0.22352941]]"
75,76,data\real_and_fake_face\training_real\real_00076.jpg,600x600,real,real,,,,,"[[0.0745098  0.07058824 0.0627451 ]
 [0.0745098  0.07058824 0.0627451 ]
 [0.0745098  0.07058824 0.0627451 ]
 ...
 [0.21568627 0.16078431 0.11764706]
 [0.18431373 0.11764706 0.07843137]
 [0.21176471 0.14509804 0.10588235]]"
76,77,data\real_and_fake_face\training_real\real_00077.jpg,600x600,real,real,,,,,"[[0.71764706 0.66666667 0.60392157]
 [0.68235294 0.63137255 0.56862745]
 [0.64705882 0.6        0.54509804]
 ...
 [0.74901961 0.7372549  0.6627451 ]
 [0.74901961 0.7372549  0.6627451 ]
 [0.74901961 0.7372549  0.6627451 ]]"
77,78,data\real_and_fake_face\training_real\real_00078.jpg,600x600,real,real,,,,,"[[0.60392157 0.67058824 0.70980392]
 [0.58823529 0.65490196 0.69411765]
 [0.58823529 0.65490196 0.69411765]
 ...
 [0.54117647 0.61176471 0.65882353]
 [0.56078431 0.63137255 0.67843137]
 [0.58039216 0.65098039 0.69803922]]"
78,79,data\real_and_fake_face\training_real\real_00079.jpg,600x600,real,real,,,,,"[[0.10980392 0.16862745 0.18823529]
 [0.10588235 0.16470588 0.19215686]
 [0.10588235 0.16470588 0.19215686]
 ...
 [0.25490196 0.22745098 0.20392157]
 [0.22352941 0.20392157 0.18823529]
 [0.23921569 0.22745098 0.20784314]]"
79,80,data\real_and_fake_face\training_real\real_00080.jpg,600x600,real,real,,,,,"[[0.21176471 0.21960784 0.20784314]
 [0.21960784 0.22745098 0.21568627]
 [0.22745098 0.23529412 0.22352941]
 ...
 [0.3372549  0.37254902 0.36078431]
 [0.35686275 0.39215686 0.38039216]
 [0.29803922 0.33333333 0.32156863]]"
